,Sentences,Word,POST,Predicted
2733,,Committee,NNP,I-org
2734,,.,.,O
2735,Sentence: 9131,They,PRP,O
2736,,had,VBD,O
2737,,arrived,VBN,O
2738,,in,IN,O
2739,,the,DT,O
2740,,country,NN,O
2741,,for,IN,O
2742,,a,DT,O
2743,,scheduled,JJ,O
2744,,visit,NN,O
2745,,.,.,O
2746,Sentence: 9132,A,DT,O
2747,,U.S,NNP,B-org
2748,,embassy,NN,O
2749,,official,NN,O
2750,,said,VBD,O
2751,,the,DT,O
2752,,visit,NN,O
2753,,was,VBD,O
2754,,canceled,VBN,O
2755,,after,IN,O
2756,,Venezuelan,JJ,B-gpe
2757,,officials,NNS,O
2758,,kept,VBD,O
2759,,the,DT,O
2760,,delegation,NN,O
2761,,'s,POS,O
2762,,military,JJ,O
2763,,jet,NN,O
2764,,on,IN,O
2765,,the,DT,O
2766,,tarmac,NN,O
2767,,for,IN,O
2768,,a,DT,O
2769,,least,JJS,O
2770,,an,DT,O
2771,,hour,NN,O
2772,,without,IN,O
2773,,allowing,VBG,O
2774,,the,DT,O
2775,,lawmakers,NNS,O
2776,,to,TO,O
2777,,disembark,VB,O
2778,,.,.,O
2779,Sentence: 9133,Caracas,NNP,B-geo
2780,,airport,NN,O
2781,,official,NN,O
2782,,Jose,NNP,B-per
2783,,Cabello,NNP,I-per
2784,,denies,VBZ,O
2785,,this,DT,O
2786,,",",",",O
2787,,saying,VBG,O
2788,,the,DT,O
2789,,group,NN,O
2790,,made,VBD,O
2791,,no,DT,O
2792,,attempt,NN,O
2793,,to,TO,O
2794,,contact,VB,O
2795,,Venezuelan,JJ,B-gpe
2796,,authorities,NNS,O
2797,,.,.,O
2798,Sentence: 9134,Relations,NNP,O
2799,,between,IN,O
2800,,Washington,NNP,B-geo
2801,,and,CC,O
2802,,Caracas,NNP,B-geo
2803,,have,VBP,O
2804,,been,VBN,O
2805,,strained,VBN,O
2806,,ever,RB,O
2807,,since,IN,O
2808,,populist,JJ,O
2809,,President,NNP,B-per
2810,,Hugo,NNP,I-per
2811,,Chavez,NNP,I-per
2812,,came,VBD,O
2813,,to,TO,O
2814,,office,NN,O
2815,,in,IN,O
2816,,1999,CD,B-tim
2817,,.,.,O
2818,Sentence: 9135,Mr.,NNP,B-per
2819,,Chavez,NNP,I-per
2820,,has,VBZ,O
2821,,repeatedly,RB,O
2822,,accused,VBN,O
2823,,the,DT,O
2824,,Bush,NNP,B-per
2825,,administration,NN,O
2826,,of,IN,O
2827,,planning,VBG,O
2828,,to,TO,O
2829,,invade,VB,O
2830,,Venezuela,NNP,B-geo
2831,,.,.,O
2832,Sentence: 9136,Washington,NNP,B-geo
2833,,denies,VBZ,O
2834,,any,DT,O
2835,,such,JJ,O
2836,,plans,NNS,O
2837,,",",",",O
2838,,and,CC,O
2839,,warns,VBZ,O
2840,,that,IN,O
2841,,Mr.,NNP,B-per
2842,,Chavez,NNP,I-per
2843,,is,VBZ,O
2844,,becoming,VBG,O
2845,,an,DT,O
2846,,authoritarian,JJ,O
2847,,threat,NN,O
2848,,to,TO,O
2849,,Venezuela,NNP,B-geo
2850,,'s,POS,O
2851,,democracy,NN,O
2852,,and,CC,O
2853,,regional,JJ,O
2854,,stability,NN,O
2855,,.,.,O
2856,Sentence: 9137,Early,RB,O
2857,,results,NNS,O
2858,,from,IN,O
2859,,Haiti,NNP,B-geo
2860,,'s,POS,O
2861,,presidential,JJ,O
2862,,election,NN,O
2863,,indicate,VBP,O
2864,,front-runner,JJ,O
2865,,candidate,NN,O
2866,,Rene,NNP,B-per
2867,,Preval,NNP,I-per
2868,,has,VBZ,O
2869,,a,DT,O
2870,,commanding,JJ,O
2871,,lead,NN,O
2872,,",",",",O
2873,,and,CC,O
2874,,may,MD,O
2875,,be,VB,O
2876,,able,JJ,O
2877,,to,TO,O
2878,,avoid,VB,O
2879,,a,DT,O
2880,,run-off,JJ,O
2881,,election,NN,O
2882,,.,.,O
2883,Sentence: 9138,Officials,NNS,O
2884,,say,VBP,O
2885,,Preval,NNP,B-per
2886,,",",",",O
2887,,a,DT,O
2888,,former,JJ,O
2889,,president,NN,O
2890,,",",",",O
2891,,has,VBZ,O
2892,,won,VBN,O
2893,,about,IN,O
2894,,61,CD,O
2895,,percent,NN,O
2896,,of,IN,O
2897,,the,DT,O
2898,,votes,NNS,O
2899,,counted,VBN,O
2900,,from,IN,O
2901,,Tuesday,NNP,B-tim
2902,,'s,POS,O
2903,,election,NN,O
2904,,.,.,O
2905,Sentence: 9139,Another,DT,O
2906,,former,JJ,O
2907,,president,NN,O
2908,,",",",",O
2909,,Leslie,NNP,B-per
2910,,Manigat,NNP,I-per
2911,,",",",",O
2912,,is,VBZ,O
2913,,a,DT,O
2914,,distant,JJ,O
2915,,second,NN,O
2916,,with,IN,O
2917,,13,CD,O
2918,,percent,NN,O
2919,,.,.,O
2920,Sentence: 9140,If,IN,O
2921,,the,DT,O
2922,,trend,NN,O
2923,,continues,VBZ,O
2924,,",",",",O
2925,,Preval,NNP,B-per
2926,,would,MD,O
2927,,have,VB,O
2928,,a,DT,O
2929,,clear,JJ,O
2930,,majority,NN,O
2931,,of,IN,O
2932,,votes,NNS,O
2933,,and,CC,O
2934,,avoid,VB,O
2935,,a,DT,O
2936,,run-off,JJ,O
2937,,election,NN,O
2938,,next,JJ,O
2939,,month,NN,O
2940,,.,.,O
2941,Sentence: 9141,Vote,JJ,O
2942,,counting,NN,O
2943,,is,VBZ,O
2944,,said,VBN,O
2945,,to,TO,O
2946,,be,VB,O
2947,,proceeding,VBG,O
2948,,slowly,RB,O
2949,,as,IN,O
2950,,ballots,NNS,O
2951,,trickle,VBP,O
2952,,in,IN,O
2953,,to,TO,O
2954,,the,DT,O
2955,,capital,NN,O
2956,,",",",",O
2957,,Port-au-Prince,NN,B-geo
2958,,",",",",O
2959,,by,IN,O
2960,,helicopter,NN,O
2961,,",",",",O
2962,,truck,NN,O
2963,,and,CC,O
2964,,mule,NN,O
2965,,.,.,O
2966,Sentence: 9142,Brazil,NNP,B-org
2967,,'s,POS,O
2968,,President,NNP,B-per
2969,,Luiz,NNP,I-per
2970,,Inacio,NNP,I-per
2971,,Lula,NNP,I-per
2972,,da,NNP,I-per
2973,,Silva,NNP,I-per
2974,,says,VBZ,O
2975,,Brazilian,JJ,B-gpe
2976,,peacekeeping,NN,O
2977,,forces,NNS,O
2978,,will,MD,O
2979,,remain,VB,O
2980,,in,IN,O
2981,,Haiti,NNP,B-geo
2982,,until,IN,O
2983,,a,DT,O
2984,,new,JJ,O
2985,,government,NN,O
2986,,is,VBZ,O
2987,,formed,VBN,O
2988,,and,CC,O
2989,,can,MD,O
2990,,maintain,VB,O
2991,,security,NN,O
2992,,.,.,O
2993,Sentence: 9143,Brazil,NNP,B-geo
2994,,is,VBZ,O
2995,,the,DT,O
2996,,leader,NN,O
2997,,of,IN,O
2998,,the,DT,O
2999,,U.N.,NNP,B-org
3000,,stabilization,NN,O
3001,,force,NN,O
3002,,in,IN,O
3003,,Haiti,NNP,B-geo
3004,,.,.,O
3005,Sentence: 9144,U.S.,NNP,B-org
3006,,and,CC,O
3007,,Iraqi,JJ,B-gpe
3008,,government,NN,O
3009,,forces,NNS,O
3010,,have,VBP,O
3011,,captured,VBN,O
3012,,scores,NNS,O
3013,,of,IN,O
3014,,suspected,JJ,O
3015,,insurgents,NNS,O
3016,,and,CC,O
3017,,seized,VBD,O
3018,,an,DT,O
3019,,enormous,JJ,O
3020,,stockpile,NN,O
3021,,of,IN,O
3022,,weapons,NNS,O
3023,,and,CC,O
3024,,explosives,NNS,O
3025,,during,IN,O
3026,,anti-insurgent,JJ,O
3027,,operations,NNS,O
3028,,in,IN,O
3029,,Iraq,NNP,B-geo
3030,,.,.,O
3031,Sentence: 9145,The,DT,O
3032,,U.S.,NNP,B-org
3033,,military,NN,O
3034,,says,VBZ,O
3035,,81,CD,O
3036,,suspected,JJ,O
3037,,rebels,NNS,O
3038,,were,VBD,O
3039,,rounded,VBN,O
3040,,up,RP,O
3041,,Thursday,NNP,B-tim
3042,,in,IN,O
3043,,raids,NNS,O
3044,,around,IN,O
3045,,Youssifiyeh,NNP,B-geo
3046,,",",",",O
3047,,south,NN,O
3048,,of,IN,O
3049,,the,DT,O
3050,,capital,NN,O
3051,,",",",",O
3052,,Baghdad,NNP,B-geo
3053,,.,.,O
3054,Sentence: 9146,Iraqi,JJ,B-gpe
3055,,officials,NNS,O
3056,,say,VBP,O
3057,,Abu,NNP,B-org
3058,,Saeed,NNP,I-org
3059,,",",",",O
3060,,a,DT,O
3061,,top,JJ,O
3062,,lieutenant,NN,O
3063,,of,IN,O
3064,,wanted,JJ,O
3065,,terrorist,JJ,O
3066,,Abu,NNP,B-org
3067,,Musab,NNP,I-org
3068,,al-Zarqawi,NNP,I-per
3069,,",",",",O
3070,,was,VBD,O
3071,,captured,VBN,O
3072,,in,IN,O
3073,,Mosul,NNP,B-geo
3074,,.,.,O
3075,Sentence: 9147,Military,JJ,O
3076,,officials,NNS,O
3077,,also,RB,O
3078,,say,VBP,O
3079,,U.S.,NNP,B-org
3080,,and,CC,O
3081,,Iraqi,JJ,B-gpe
3082,,troops,NNS,O
3083,,uncovered,VBD,O
3084,,what,WP,O
3085,,they,PRP,O
3086,,called,VBD,O
3087,,the,DT,O
3088,,largest,JJS,O
3089,,cache,NN,O
3090,,of,IN,O
3091,,weapons,NNS,O
3092,,found,VBN,O
3093,,so,RB,O
3094,,far,RB,O
3095,,",",",",O
3096,,in,IN,O
3097,,a,DT,O
3098,,mosque,NN,O
3099,,in,IN,O
3100,,Fallujah,NNP,B-geo
3101,,.,.,O
3102,Sentence: 9148,The,DT,O
3103,,discovery,NN,O
3104,,came,VBD,O
3105,,as,IN,O
3106,,Iraqi,JJ,B-gpe
3107,,troops,NNS,O
3108,,searching,VBG,O
3109,,for,IN,O
3110,,suspected,JJ,O
3111,,terrorist,JJ,O
3112,,hideouts,NNS,O
3113,,in,IN,O
3114,,Fallujah,NNP,B-geo
3115,,uncovered,VBD,O
3116,,what,WP,O
3117,,appeared,VBD,O
3118,,to,TO,O
3119,,be,VB,O
3120,,a,DT,O
3121,,chemical,NN,O
3122,,bomb,NN,O
3123,,factory,NN,O
3124,,.,.,O
3125,Sentence: 9149,Iraqi,JJ,B-gpe
3126,,officials,NNS,O
3127,,say,VBP,O
3128,,the,DT,O
3129,,laboratory,NN,O
3130,,may,MD,O
3131,,have,VB,O
3132,,been,VBN,O
3133,,used,VBN,O
3134,,to,TO,O
3135,,make,VB,O
3136,,toxic,JJ,O
3137,,substances,NNS,O
3138,,and,CC,O
3139,,contained,VBD,O
3140,,pamphlets,NNS,O
3141,,on,IN,O
3142,,manufacturing,NN,O
3143,,anthrax,NN,O
3144,,.,.,O
3145,Sentence: 9150,The,DT,O
3146,,head,NN,O
3147,,of,IN,O
3148,,the,DT,O
3149,,Palestinian,JJ,B-gpe
3150,,mission,NN,O
3151,,in,IN,O
3152,,Peru,NNP,B-geo
3153,,has,VBZ,O
3154,,told,VBN,O
3155,,protesters,NNS,O
3156,,in,IN,O
3157,,Lima,NNP,B-geo
3158,,that,IN,O
3159,,the,DT,O
3160,,kidnapping,NN,O
3161,,of,IN,O
3162,,a,DT,O
3163,,Peruvian,JJ,B-gpe
3164,,photographer,NN,O
3165,,in,IN,O
3166,,the,DT,O
3167,,Gaza,NNP,B-geo
3168,,Strip,NNP,I-geo
3169,,is,VBZ,O
3170,,damaging,VBG,O
3171,,the,DT,O
3172,,"""",``,O
3173,,just,RB,O
3174,,fight,VB,O
3175,,"""",``,O
3176,,of,IN,O
3177,,the,DT,O
3178,,Palestinian,JJ,B-gpe
3179,,people,NNS,O
3180,,.,.,O
3181,Sentence: 9151,Walid,NNP,B-per
3182,,Abdel,NNP,I-per
3183,,Rahim,NNP,I-per
3184,,spoke,VBD,O
3185,,to,TO,O
3186,,protesters,NNS,O
3187,,on,IN,O
3188,,Friday,NNP,B-tim
3189,,outside,IN,O
3190,,the,DT,O
3191,,Palestinian,JJ,B-gpe
3192,,mission,NN,O
3193,,.,.,O
3194,Sentence: 9152,He,PRP,O
3195,,condemned,VBD,O
3196,,the,DT,O
3197,,kidnapping,NN,O
3198,,of,IN,O
3199,,Jaime,NNP,B-per
3200,,Razuri,NNP,I-per
3201,,.,.,O
3202,Sentence: 9153,The,DT,O
3203,,protesters,NNS,O
3204,,called,VBD,O
3205,,for,IN,O
3206,,Razuri,NNP,B-org
3207,,'s,POS,O
3208,,release,NN,O
3209,,.,.,O
3210,Sentence: 9154,The,DT,O
3211,,crowd,NN,O
3212,,included,VBD,O
3213,,Razuri,NNP,B-org
3214,,'s,POS,O
3215,,family,NN,O
3216,,and,CC,O
3217,,international,JJ,O
3218,,journalists,NNS,O
3219,,.,.,O
3220,Sentence: 9155,Razuri,NNP,B-per
3221,,is,VBZ,O
3222,,an,DT,O
3223,,employee,NN,O
3224,,of,IN,O
3225,,the,DT,O
3226,,French,JJ,B-gpe
3227,,news,NN,O
3228,,agency,NN,O
3229,,.,.,O
3230,Sentence: 9156,Gunmen,NNS,O
3231,,seized,VBD,O
3232,,him,PRP,O
3233,,on,IN,O
3234,,Monday,NNP,B-tim
3235,,outside,IN,O
3236,,the,DT,O
3237,,news,NN,O
3238,,agency,NN,O
3239,,'s,POS,O
3240,,offices,NNS,O
3241,,in,IN,O
3242,,Gaza,NNP,B-geo
3243,,City,NNP,I-geo
3244,,.,.,O
3245,Sentence: 9157,No,DT,O
3246,,group,NN,O
3247,,has,VBZ,O
3248,,claimed,VBN,O
3249,,responsibility,NN,O
3250,,for,IN,O
3251,,the,DT,O
3252,,kidnapping,NN,O
3253,,.,.,O
3254,Sentence: 9158,Kidnappings,NNS,O
3255,,are,VBP,O
3256,,frequent,JJ,O
3257,,in,IN,O
3258,,the,DT,O
3259,,Gaza,NNP,B-geo
3260,,Strip,NNP,I-geo
3261,,",",",",O
3262,,but,CC,O
3263,,hostages,NNS,O
3264,,are,VBP,O
3265,,usually,RB,O
3266,,released,VBN,O
3267,,within,IN,O
3268,,hours,NNS,O
3269,,.,.,O
3270,Sentence: 9159,Chinese,JJ,B-gpe
3271,,authorities,NNS,O
3272,,have,VBP,O
3273,,banned,VBN,O
3274,,the,DT,O
3275,,use,NN,O
3276,,of,IN,O
3277,,foreign,JJ,O
3278,,words,NNS,O
3279,,and,CC,O
3280,,phrases,NNS,O
3281,,Ð,;,O
3282,,especially,RB,O
3283,,English,JJ,O
3284,,Ð,;,O
3285,,in,IN,O
3286,,Chinese,JJ,B-gpe
3287,,newspapers,NNS,O
3288,,",",",",O
3289,,books,NNS,O
3290,,and,CC,O
3291,,websites,NNS,O
3292,,.,.,O
3293,Sentence: 9160,The,DT,O
3294,,ban,NN,O
3295,,",",",",O
3296,,reported,VBD,O
3297,,Wednesday,NNP,B-tim
3298,,",",",",O
3299,,was,VBD,O
3300,,issued,VBN,O
3301,,by,IN,O
3302,,the,DT,O
3303,,General,NNP,B-org
3304,,Administration,NNP,I-org
3305,,of,IN,I-org
3306,,Press,NNP,I-org
3307,,and,CC,I-org
3308,,Publication,NNP,I-org
3309,,",",",",O
3310,,the,DT,O
3311,,governing,NN,O
3312,,body,NN,O
3313,,for,IN,O
3314,,written,JJ,O
3315,,publications,NNS,O
3316,,.,.,O
3317,Sentence: 9161,It,PRP,O
3318,,says,VBZ,O
3319,,the,DT,O
3320,,increasing,VBG,O
3321,,use,NN,O
3322,,of,IN,O
3323,,English,NNP,O
3324,,and,CC,O
3325,,half-English,JJ,O
3326,,phrases,NNS,O
3327,,is,VBZ,O
3328,,damaging,VBG,O
3329,,the,DT,O
3330,,purity,NN,O
3331,,of,IN,O
3332,,the,DT,O
3333,,Chinese,JJ,B-gpe
3334,,language,NN,O
3335,,and,CC,O
3336,,disrupting,VBG,O
3337,,the,DT,O
3338,,nation,NN,O
3339,,'s,POS,O
3340,,"""",``,O
3341,,harmonious,JJ,O
3342,,and,CC,O
3343,,healthy,JJ,O
3344,,cultural,JJ,O
3345,,environment,NN,O
3346,,.,.,O
3347,,"""",``,O
3348,Sentence: 9162,The,DT,O
3349,,ruling,NN,O
3350,,body,NN,O
3351,,leaves,VBZ,O
3352,,some,DT,O
3353,,room,NN,O
3354,,for,IN,O
3355,,English,JJ,B-gpe
3356,,words,NNS,O
3357,,and,CC,O
3358,,abbreviations,NNS,O
3359,,to,TO,O
3360,,be,VB,O
3361,,used,VBN,O
3362,,if,IN,O
3363,,they,PRP,O
3364,,are,VBP,O
3365,,immediately,RB,O
3366,,followed,VBN,O
3367,,by,IN,O
3368,,a,DT,O
3369,,Chinese,JJ,B-gpe
3370,,translation,NN,O
3371,,or,CC,O
3372,,explanation,NN,O
3373,,.,.,O
3374,Sentence: 9163,It,PRP,O
3375,,says,VBZ,O
3376,,translations,NNS,O
3377,,should,MD,O
3378,,be,VB,O
3379,,consistent,JJ,O
3380,,with,IN,O
3381,,basic,JJ,O
3382,,translation,NN,O
3383,,principles,NNS,O
3384,,and,CC,O
3385,,practices,NNS,O
3386,,.,.,O
3387,Sentence: 9164,The,DT,O
3388,,announcement,NN,O
3389,,includes,VBZ,O
3390,,a,DT,O
3391,,warning,NN,O
3392,,that,IN,O
3393,,violations,NNS,O
3394,,will,MD,O
3395,,be,VB,O
3396,,punished,VBN,O
3397,,as,IN,O
3398,,provided,VBN,O
3399,,for,IN,O
3400,,by,IN,O
3401,,the,DT,O
3402,,law,NN,O
3403,,.,.,O
3404,Sentence: 9165,Israeli,JJ,B-gpe
3405,,Defense,NNP,O
3406,,Minister,NNP,I-per
3407,,Ehud,NNP,I-per
3408,,Barak,NNP,I-per
3409,,has,VBZ,O
3410,,canceled,VBN,O
3411,,a,DT,O
3412,,visit,NN,O
3413,,to,TO,O
3414,,Paris,NNP,B-geo
3415,,where,WRB,O
3416,,he,PRP,O
3417,,was,VBD,O
3418,,to,TO,O
3419,,take,VB,O
3420,,part,NN,O
3421,,in,IN,O
3422,,an,DT,O
3423,,international,JJ,O
3424,,military,JJ,O
3425,,exhibition,NN,O
3426,,",",",",O
3427,,and,CC,O
3428,,meet,VB,O
3429,,with,IN,O
3430,,the,DT,O
3431,,French,JJ,B-gpe
3432,,defense,NN,O
3433,,and,CC,O
3434,,foreign,JJ,O
3435,,ministers,NNS,O
3436,,.,.,O
3437,Sentence: 9166,Israel,NNP,B-geo
3438,,'s,POS,O
3439,,defense,NN,O
3440,,ministry,NN,O
3441,,said,VBD,O
3442,,Sunday,NNP,B-tim
3443,,that,IN,I-tim
3444,,Barak,NNP,O
3445,,has,VBZ,O
3446,,decided,VBN,O
3447,,to,TO,O
3448,,remain,VB,O
3449,,in,IN,O
3450,,Israel,NNP,B-geo
3451,,until,IN,O
3452,,a,DT,O
3453,,panel,NN,O
3454,,of,IN,O
3455,,experts,NNS,O
3456,,is,VBZ,O
3457,,formed,VBN,O
3458,,to,TO,O
3459,,investigate,VB,O
3460,,the,DT,O
3461,,raid,NN,O
3462,,on,IN,O
3463,,a,DT,O
3464,,Gaza-bound,JJ,O
3465,,flotilla,NN,O
3466,,.,.,O
3467,Sentence: 9167,Earlier,RBR,O
3468,,this,DT,O
3469,,month,NN,O
3470,,",",",",O
3471,,Israel,NNP,B-geo
3472,,drew,VBD,O
3473,,international,JJ,O
3474,,criticism,NN,O
3475,,after,IN,O
3476,,its,PRP$,O
3477,,soldiers,NNS,O
3478,,killed,VBD,O
3479,,nine,CD,O
3480,,pro-Palestinian,JJ,O
3481,,activists,NNS,O
3482,,who,WP,O
3483,,were,VBD,O
3484,,part,NN,O
3485,,of,IN,O
3486,,a,DT,O
3487,,flotilla,NN,O
3488,,that,WDT,O
3489,,was,VBD,O
3490,,trying,VBG,O
3491,,to,TO,O
3492,,break,VB,O
3493,,a,DT,O
3494,,blockade,NN,O
3495,,and,CC,O
3496,,deliver,VB,O
3497,,aid,NN,O
3498,,directly,RB,O
3499,,to,TO,O
3500,,Gaza,NNP,B-geo
3501,,.,.,O
3502,Sentence: 9168,French,JJ,B-gpe
3503,,activists,NNS,O
3504,,said,VBD,O
3505,,they,PRP,O
3506,,plan,VBP,O
3507,,on,IN,O
3508,,filing,VBG,O
3509,,a,DT,O
3510,,lawsuit,NN,O
3511,,against,IN,O
3512,,Barak,NNP,B-org
3513,,in,IN,O
3514,,France,NNP,B-geo
3515,,",",",",O
3516,,as,RB,O
3517,,well,RB,O
3518,,as,IN,O
3519,,with,IN,O
3520,,the,DT,O
3521,,International,NNP,B-org
3522,,Criminal,NNP,I-org
3523,,Court,NNP,I-org
3524,,in,IN,O
3525,,the,DT,B-geo
3526,,Netherlands,NNP,I-geo
3527,,.,.,O
3528,Sentence: 9169,Barak,NNP,B-per
3529,,told,VBD,O
3530,,Israel,NNP,B-geo
3531,,'s,POS,O
3532,,parliament,NN,O
3533,,last,JJ,O
3534,,week,NN,O
3535,,that,IN,O
3536,,an,DT,O
3537,,internal,JJ,O
3538,,inquiry,NN,O
3539,,will,MD,O
3540,,aim,VB,O
3541,,to,TO,O
3542,,establish,VB,O
3543,,whether,IN,O
3544,,Israel,NNP,B-geo
3545,,'s,POS,O
3546,,raid,NN,O
3547,,on,IN,O
3548,,the,DT,O
3549,,ship,NN,O
3550,,",",",",O
3551,,and,CC,O
3552,,its,PRP$,O
3553,,Gaza,NNP,B-geo
3554,,blockade,NN,O
3555,,",",",",O
3556,,are,VBP,O
3557,,in,IN,O
3558,,keeping,VBG,O
3559,,with,IN,O
3560,,international,JJ,O
3561,,law,NN,O
3562,,.,.,O
3563,Sentence: 9170,A,DT,O
3564,,surgeon,NN,O
3565,,in,IN,O
3566,,Miami,NNP,B-geo
3567,,used,VBD,O
3568,,his,PRP$,O
3569,,skill,NN,O
3570,,in,IN,O
3571,,transplanting,VBG,O
3572,,organs,NNS,O
3573,,to,TO,O
3574,,save,VB,O
3575,,the,DT,O
3576,,life,NN,O
3577,,of,IN,O
3578,,a,DT,O
3579,,woman,NN,O
3580,,who,WP,O
3581,,had,VBD,O
3582,,been,VBN,O
3583,,told,VBN,O
3584,,her,PRP$,O
3585,,cancer,NN,O
3586,,was,VBD,O
3587,,inoperable,JJ,O
3588,,.,.,O
3589,Sentence: 9171,In,IN,O
3590,,this,DT,O
3591,,breakthrough,NN,O
3592,,surgery,NN,O
3593,,",",",",O
3594,,doctors,NNS,O
3595,,narrowed,VBD,O
3596,,the,DT,O
3597,,scope,NN,O
3598,,of,IN,O
3599,,what,WP,O
3600,,is,VBZ,O
3601,,now,RB,O
3602,,considered,VBN,O
3603,,inoperable,JJ,O
3604,,.,.,O
3605,Sentence: 9172,VOA,NNP,B-org
3606,,'s,POS,O
3607,,Carol,NNP,B-per
3608,,Pearson,NNP,I-per
3609,,reports,VBZ,O
3610,,.,.,O
3611,Sentence: 9173,A,DT,O
3612,,suicide,NN,O
3613,,bomber,NN,O
3614,,blew,VBD,O
3615,,himself,PRP,O
3616,,up,RP,O
3617,,near,IN,O
3618,,a,DT,O
3619,,NATO,NNP,B-org
3620,,base,NN,O
3621,,in,IN,O
3622,,eastern,JJ,B-geo
3623,,Afghanistan,NNP,I-geo
3624,,Tuesday,NNP,B-tim
3625,,",",",",O
3626,,killing,VBG,O
3627,,10,CD,O
3628,,civilians,NNS,O
3629,,and,CC,O
3630,,wounding,VBG,O
3631,,14,CD,O
3632,,others,NNS,O
3633,,.,.,O
3634,Sentence: 9174,An,DT,O
3635,,Afghan,JJ,B-gpe
3636,,official,NN,O
3637,,",",",",O
3638,,provincial,JJ,O
3639,,governor,NN,O
3640,,Arsala,NNP,B-per
3641,,Jamal,NNP,I-per
3642,,",",",",O
3643,,says,VBZ,O
3644,,the,DT,O
3645,,bomber,NN,O
3646,,set,VBD,O
3647,,off,RP,O
3648,,his,PRP$,O
3649,,explosives,NNS,O
3650,,in,IN,O
3651,,a,DT,O
3652,,crowd,NN,O
3653,,of,IN,O
3654,,laborers,NNS,O
3655,,waiting,VBG,O
3656,,to,TO,O
3657,,get,VB,O
3658,,inside,IN,O
3659,,a,DT,O
3660,,NATO,NNP,B-org
3661,,military,JJ,O
3662,,base,NN,O
3663,,in,IN,O
3664,,the,DT,O
3665,,city,NN,O
3666,,of,IN,O
3667,,Khost,NNP,B-geo
3668,,.,.,O
3669,Sentence: 9175,There,EX,O
3670,,were,VBD,O
3671,,no,DT,O
3672,,NATO,NNP,B-org
3673,,or,CC,O
3674,,U.S.,NNP,B-org
3675,,casualities,NNS,O
3676,,.,.,O
3677,Sentence: 9176,In,IN,O
3678,,a,DT,O
3679,,separate,JJ,O
3680,,incident,NN,O
3681,,in,IN,O
3682,,the,DT,O
3683,,south,NN,O
3684,,",",",",O
3685,,suspected,JJ,O
3686,,Taleban,NNP,B-org
3687,,militants,NNS,O
3688,,ambushed,VBD,O
3689,,a,DT,O
3690,,police,NN,O
3691,,patrol,NN,O
3692,,in,IN,O
3693,,Kandahar,NNP,B-geo
3694,,",",",",O
3695,,killing,VBG,O
3696,,at,IN,O
3697,,least,JJS,O
3698,,eight,CD,O
3699,,policemen,NNS,O
3700,,.,.,O
3701,Sentence: 9177,Attacks,NNS,O
3702,,by,IN,O
3703,,Taleban,NNP,B-org
3704,,militants,NNS,O
3705,,against,IN,O
3706,,NATO,NNP,B-org
3707,,",",",",O
3708,,U.S.,NNP,B-org
3709,,and,CC,O
3710,,Afghan,JJ,B-gpe
3711,,forces,NNS,O
3712,,increased,VBD,O
3713,,dramatically,RB,O
3714,,in,IN,O
3715,,Afghanistan,NNP,B-geo
3716,,last,JJ,O
3717,,year,NN,O
3718,,.,.,O
3719,Sentence: 9178,U.S.,NNP,B-org
3720,,and,CC,O
3721,,Afghan,JJ,B-gpe
3722,,officials,NNS,O
3723,,have,VBP,O
3724,,warned,VBN,O
3725,,they,PRP,O
3726,,expect,VBP,O
3727,,an,DT,O
3728,,increase,NN,O
3729,,in,IN,O
3730,,Taleban,NNP,B-org
3731,,attacks,NNS,O
3732,,in,IN,O
3733,,the,DT,O
3734,,coming,VBG,O
3735,,months,NNS,O
3736,,in,IN,O
3737,,what,WP,O
3738,,has,VBZ,O
3739,,been,VBN,O
3740,,called,VBN,O
3741,,a,DT,O
3742,,"""",``,O
3743,,spring,NN,O
3744,,offensive,NN,O
3745,,.,.,O
3746,,"""",``,O
3747,Sentence: 9179,Palestinian,JJ,B-gpe
3748,,officials,NNS,O
3749,,have,VBP,O
3750,,confirmed,VBN,O
3751,,that,IN,O
3752,,elections,NNS,O
3753,,to,TO,O
3754,,replace,VB,O
3755,,president,NN,O
3756,,Yasser,NNP,I-per
3757,,Arafat,NNP,I-per
3758,,will,MD,O
3759,,be,VB,O
3760,,held,VBN,O
3761,,on,IN,O
3762,,January,NNP,B-tim
3763,,9,CD,I-tim
3764,,.,.,O
3765,Sentence: 9180,Caretaker,NN,O
3766,,President,NNP,B-per
3767,,Rawhi,NNP,I-per
3768,,Fattouh,NNP,I-per
3769,,said,VBD,O
3770,,Sunday,NNP,B-tim
3771,,the,DT,O
3772,,nominating,JJ,O
3773,,period,NN,O
3774,,for,IN,O
3775,,candidates,NNS,O
3776,,will,MD,O
3777,,begin,VB,O
3778,,November,NNP,B-tim
3779,,20,CD,I-tim
3780,,",",",",O
3781,,and,CC,O
3782,,run,VB,O
3783,,for,IN,O
3784,,12,CD,B-tim
3785,,days,NNS,O
3786,,.,.,O
3787,Sentence: 9181,The,DT,O
3788,,announcement,NN,O
3789,,of,IN,O
3790,,the,DT,O
3791,,vote,NN,O
3792,,comes,VBZ,O
3793,,three,CD,O
3794,,days,NNS,O
3795,,after,IN,O
3796,,Mr.,NNP,B-per
3797,,Arafat,NNP,I-per
3798,,died,VBD,O
3799,,in,IN,O
3800,,a,DT,O
3801,,Paris,NNP,B-geo
